address_id,address,address2,district,city_id,postal_code,phone
5709321193,aqz1dRYdq,QLmavcxMzt,WiY9y,7033,86550,966 14 029 9509
4987519486,CitKf4U3d,XOae4VJ214Qv6,g7EYer,169,9080,966 31 716 2002
2141054598,EIH0,7xopMtWGdX,Q5fuu2,2729,83062,966 81 875 3737
7397025314,2hUv,C0etW1Hf7aOsC,18dwM,714,3427,966 67 460 4621
5647626605,k2gcPgXff,U93Tpxact39,dia7w,306,40810,966 46 109 3415
5233704754,rtsRYGe,zh0u1qXmht,3DQS7Q3,890,66603,966 50 828 0430
4917573915,s3X6cw,B9zxC6bv7e,aLEsp,279,37535,966 04 138 3211
3135103054,S2HH0zpU,c4uQoliypIVSGn,FDDJO,555,54928,966 73 007 2252
9527433597,lAGk9ukbn0,XDk586NDuF3,OZ3E6,6902,36728,966 15 355 7392
8347315792,MawaL,LADbeaOiROL,ftPKd,6735,75423,966 49 811 1086
1481879598,vmE1Xxl,wkogR8MjIqTE,F8TMVl,5560,1096,966 61 479 9092
7321324178,m2TjZ,EeaPeH7jPjeU4Kz,bX4zhCs,3849,7540,966 85 766 9308
9132085389,TFEJ,8yD3V4gwe4L4r,O7EoVI,7752,81651,966 99 302 0609
3609044728,MwzQNjHKu,cGbKtfW3IfaBFaB,h4elmOR,7271,31021,966 28 579 1228
8464456421,uB1Fkq178,H6CXSbx9dcvbmQ,6buLGm,525,18920,966 80 464 2932
8590857695,JARSDP,a2HK6wOb5FDdLdS,7Y7Uw,281,2228,966 78 939 6272
2915419283,D9ZU,6Kx6MkgrjzA4jLJ,0HniV,555,27836,966 12 961 4429
3735014686,jM5Zfl,JGPcT8xWZbAYF,gjJei,681,40750,966 98 399 0046
9249812992,e3mAqsIlx5,ylHU88P9boJha4,9VfpyX,9937,51521,966 71 327 7176
9165788956,KdFHTL,uwN3yiT9vLJiaZg,KzvfsHT,2544,81055,966 66 199 8508
1258076250,tDFQ,ly18b0kU78,nq74Tat,815,62176,966 52 218 0875
6692290573,NjPqXI,Ad5KOCUw1Kojj,6JtdT,923,35374,966 89 709 3009
5094920591,PLVb1,VCXEdyzZ942E,y1Awz,710,70100,966 80 754 6596
7562161166,WGQ0YL8N,RcMQrC3oCywyn6,1IITO,247,79452,966 53 210 2552
8328044694,cJRpxc3eN,5obPR0MYkH1,5ovnty,7607,88340,966 61 708 9646
1381513656,bHQ0,JD0lDxF5qB,n6Ylwc,491,26980,966 27 537 3008
2258614112,Im2oFX,8JyT1cmxZ9UJq,xolvM,275,56222,966 99 726 0126
4587697301,FvCm0N6ng,MvTvGG2FTdQFm,lg5J89B,727,62274,966 43 386 0542
3282740243,EnTFWvb3,py2xfY3y6ecB,pwZsss,5194,74086,966 34 903 1771
4731820662,Ozb3EdIx,RdD6YiFEYH0,QQvZUM,995,64077,966 96 463 6453
1881064956,LcUn4y,IPzu206vx7KMLD,qGTwK,438,52918,966 15 345 0546
3850104489,gr3PE,fsTourzdBjt,hxyCMAV,8274,96635,966 36 599 9905
